Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Ventos do Sertão,EOL,30000.0,"-10,55667941","-40,56867640",Campo Formoso - BA
Caetité 1,EOL,30000.0,"-14,16321686","-42,48449020",Caetité - BA
Ventos de Campo Formoso II,EOL,30000.0,"-10,51956005","-40,61138421",Campo Formoso - BA
Cabeço Preto III,EOL,26000.0,"-5,41830211","-35,98613113",João Câmara - RN
Macambira I,EOL,18000.0,"-6,04629870","-36,55513292",Santana do Matos - RN
Macambira II,EOL,18000.0,"-6,07538762","-36,53017220",Lagoa Nova - RN
Campo dos Ventos V,EOL,25200.0,"-5,32515959","-35,94261985",Parazinho - RN
Campo dos Ventos III,EOL,25200.0,"-5,33563148","-35,96689863",João Câmara - RN
Campo dos Ventos I,EOL,25200.0,"-5,35434917","-35,93354673",João Câmara - RN
São Salvador,EOL,18900.0,"-13,83791923","-42,64863784",Riacho de Santana - BA
Dois Riachos,EOL,30000.0,"-11,82245678","-41,45906226",Cafarnaum - BA
Ventos de Santa Edwiges,EOL,29700.0,"-7,30696092","-40,55498054",Caldeirão Grande do Piauí - PI
Ventos de Santo Adriano,EOL,29700.0,"-7,33057948","-40,57947838",Caldeirão Grande do Piauí - PI
Ventos de Santo Albano,EOL,29700.0,"-7,35291645","-40,60046442",Caldeirão Grande do Piauí - PI
Ventos de Santa Fátima,EOL,29700.0,"-7,30002016","-40,55418635",Caldeirão Grande do Piauí - PI
Ventos de Santa Bárbara,EOL,29700.0,"-7,30339822","-40,53635416",Caldeirão Grande do Piauí - PI
Ventos de Santa Angelina,EOL,29700.0,"-7,30470774","-40,53001363",Caldeirão Grande do Piauí - PI
Ventos de Santa Regina,EOL,29700.0,"-7,33010887","-40,58999031",Caldeirão Grande do Piauí - PI
Xangri-lá,EOL,31700.0,"-29,77275779","-50,08010638",Xangri-lá - RS
Baraúnas I,EOL,32900.0,"-9,88679375","-41,12033083",Sento Sé - BA
Morro Branco I,EOL,32900.0,"-9,84970469","-41,05651947",Sento Sé - BA
Maniçoba,EOL,30000.0,"-11,89343089","-41,45833065",Sento Sé - BA
Damascena,EOL,30000.0,"-11,85671845","-41,47422172",Cafarnaum - BA
Assuruá V,EOL,20000.0,"-11,18410667","-42,70531252",Gentio do Ouro - BA
Caetité B,EOL,22100.0,"-14,11463412","-42,47494888",Caetité - BA
Assuruá II,EOL,30000.0,"-11,16379470","-42,67064896",Gentio do Ouro - BA
Caetité A,EOL,23800.0,"-14,14148093","-42,47826736",Caetité - BA
Ventos de Santa Brígida V,EOL,28900.0,"-8,84649241","-36,73023703",Paranatama - PE
Mussambê,EOL,32900.0,"-9,86276380","-41,08341680",Sento Sé - BA
Ventos de Santa Brígida VI,EOL,28900.0,"-8,86806194","-36,74706437",Caetés - PE
Ventos de Santa Brígida III,EOL,28900.0,"-8,84508573","-36,76966307",Pedra - PE
Esperança,EOL,28000.0,"-11,86161996","-41,41614405",Bonito - BA
Assuruá VII,EOL,18000.0,"-11,07103885","-42,67881450",Gentio do Ouro - BA
Ventos de Santa Joana II,EOL,30000.0,"-7,56968194","-40,70317552",Caldeirão Grande do Piauí - PI
Ventos de Santo Onofre II,EOL,30000.0,"-7,59459511","-40,73036087",Simões - PI
Ventos de Santa Brígida II,EOL,27200.0,"-8,79690443","-36,73376938",Paranatama - PE
Ventos de Santo Onofre I,EOL,30000.0,"-7,55331233","-40,72552397",Simões - PI
Ventos de Santa Brígida I,EOL,13600.0,"-8,80988311","-36,74873861",Pedra - PE
Ventos de Santa Joana VIII,EOL,30000.0,"-7,59768609","-40,73249201",Marcolândia - PI
Ventos de Santa Joana VI,EOL,30000.0,"-7,52658978","-40,74420422",Caldeirão Grande do Piauí - PI
Ventos de Santa Joana XIV,EOL,30000.0,"-7,51089594","-40,73443836",Caldeirão Grande do Piauí - PI
Ventos de Santa Brígida IV,EOL,27200.0,"-8,83377658","-36,76018312",Caetés - PE
Ventos de Santo Dimas,EOL,29400.0,"-5,23370126","-35,78992453",São Miguel do Gostoso - RN
Ventos de São Benedito,EOL,29400.0,"-5,22620707","-35,78523117",São Miguel do Gostoso - RN
Ventos de Santa Joana XI,EOL,29600.0,"-7,48295922","-40,79978173",Caldeirão Grande do Piauí - PI
Ventos de Santa Joana XVI,EOL,28900.0,"-7,45882146","-40,72366987",Marcolândia - PI
Ventos de Santa Joana X,EOL,29600.0,"-7,43867581","-40,70826931",Marcolândia - PI
Ventos de Santa Joana XIII,EOL,29600.0,"-7,41035247","-40,71088116",Marcolândia - PI
Abil,EOL,23700.0,"-14,27782253","-42,54345862",Caetité - BA
Tabua,EOL,15000.0,"-14,31591160","-42,57214019",Caetité - BA
Angico,EOL,8100.0,"-13,89479471","-42,70269754",Igaporã - BA
Jabuticaba,EOL,9000.0,"-14,32569297","-42,57185217",Caetité - BA
Taboquinha,EOL,21600.0,"-13,90772152","-42,70502063",Igaporã - BA
Folha de Serra,EOL,21000.0,"-14,54996203","-42,58064365",Caetité - BA
Jacarandá do Cerrado,EOL,21000.0,"-14,55618120","-42,58204778",Licínio de Almeida - BA
Ventos de São Martinho,EOL,14700.0,"-5,27793198","-35,78090198",Touros - RN
Ventos de Santa Joana XII,EOL,28900.0,"-7,48598065","-40,75404392",Caldeirão Grande do Piauí - PI
Ventos de Santa Joana XV,EOL,28900.0,"-7,47778083","-40,76739153",Marcolândia - PI
Ventos de Santa Joana IX,EOL,29600.0,"-7,45166154","-40,74413274",Marcolândia - PI
Acácia,EOL,16200.0,"-13,91558567","-42,69778192",Igaporã - BA
Ventos de Santa Brígida VII,EOL,27200.0,"-8,80254751","-36,75791784",Caetés - PE
Vaqueta,EOL,23400.0,"-14,25956065","-42,55432040",Caetité - BA
Santa Úrsula,EOL,27300.0,"-5,29366049","-35,78931672",Touros - RN
Santa Mônica,EOL,29400.0,"-5,27983007","-35,80055853",Touros - RN
Teiú 2,EOL,8000.0,"-14,44520868","-42,69171929",Pindaí - BA
Caititu 2,EOL,10000.0,"-14,33182168","-42,61280189",Pindaí - BA
Acauã,EOL,6000.0,"-14,41277563","-42,65994184",Pindaí - BA
Angical 2,EOL,10000.0,"-14,41903828","-42,64192930",Pindaí - BA
Carcará,EOL,10000.0,"-14,28355941","-42,59324515",Pindaí - BA
Corrupião 3,EOL,10000.0,"-14,27017056","-42,57548998",Pindaí - BA
Caititu 3,EOL,10000.0,"-14,32017749","-42,61027503",Pindaí - BA
