Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Sertão Solar Barreiras III,UFV,23660.0,"-12,03789474","-45,06931202",Barreiras - BA
Sertão Solar Barreiras IV,UFV,23660.0,"-12,04920194","-45,07021660",Barreiras - BA
Testa Branca III,EOL,24000.0,"-2,79980053","-41,79198590",Ilha Grande - PI
Ventos de São Januário 01,EOL,33600.0,"-10,32267124","-40,43672213",Campo Formoso - BA
Ventos de São Januário 03,EOL,33600.0,"-10,31053008","-40,44036494",Campo Formoso - BA
Ventos de São Januário 06,EOL,37800.0,"-10,41098237","-40,46644302",Campo Formoso - BA
Ventos de São Januário 10,EOL,42000.0,"-10,26507524","-40,43061877",Campo Formoso - BA
Ventos de São Januário 11,EOL,42000.0,"-10,24309451","-40,42447693",Campo Formoso - BA
Ventos de São Januário 13,EOL,42000.0,"-10,34475554","-40,43775390",Campo Formoso - BA
Ventos de São Januário 14,EOL,42000.0,"-10,36782797","-40,44223337",Campo Formoso - BA
Ventos de São Januário 16,EOL,72000.0,"-11,09936157","-41,28088350","Morro do Chapéu - BA, Várzea Nova - BA"
Ventos de São Januário 17,EOL,72000.0,"-11,13073509","-41,28733190",Morro do Chapéu - BA
Ventos de São Januário 18,EOL,72000.0,"-11,12647376","-41,30334018",Morro do Chapéu - BA
Mundo Novo V,EOL,22500.0,"-5,19891000","-35,69155090",São Miguel do Gostoso - RN
Floresta III,UFV,22000.0,"-4,97587183","-36,90518017",Areia Branca - RN
Verde Vale III,UFV,14300.0,"-14,14925154","-42,72702632",Guanambi - BA
Acauã I,EOL,25200.0,"-6,08534294","-36,66725811",Santana do Matos - RN
Acauã II,EOL,21000.0,"-6,07896351","-36,67402190",Santana do Matos - RN
Solar Salgueiro,UFV,30000.0,"-8,08037223","-39,34452499",Terra Nova - PE
Sol Maior 2,UFV,5000.0,"-9,54056981","-48,53782413",Miracema do Tocantins - TO
Aura Lagoa do Barro 07,EOL,33000.0,"-8,67560311","-41,63449150",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 03,EOL,33000.0,"-8,61366153","-41,55139092",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 04,EOL,33000.0,"-8,59339129","-41,54198502",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 01,EOL,27000.0,"-8,69829316","-41,63572155",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 02,EOL,27000.0,"-8,65379009","-41,56536363",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 05,EOL,24000.0,"-8,68413507","-41,62373545",Lagoa do Barro do Piauí - PI
Aura Lagoa do Barro 06,EOL,27000.0,"-8,63298242","-41,56077350",Lagoa do Barro do Piauí - PI
Aura Queimada Nova 03,EOL,9000.0,"-8,66741477","-41,63080212",Lagoa do Barro do Piauí - PI
Laranjeiras III,EOL,25000.0,"-11,03539473","-42,63211130",Gentio do Ouro - BA
Laranjeiras IX,EOL,25000.0,"-11,08122843","-42,61800203",Gentio do Ouro - BA
Campo Largo III,EOL,29700.0,"-10,50290276","-41,54008674",Sento Sé - BA
Campo Largo IV,EOL,29700.0,"-10,48978350","-41,51154837",Sento Sé - BA
Campo Largo V,EOL,29700.0,"-10,42297013","-41,42850734",Sento Sé - BA
Campo Largo VI,EOL,29700.0,"-10,42114796","-41,39572975",Sento Sé - BA
Campo Largo VII,EOL,29700.0,"-10,52294314","-41,49361778",Sento Sé - BA
Campo Largo XXI,EOL,29700.0,"-10,44955113","-41,44806822",Sento Sé - BA
Umburanas 17,EOL,22500.0,"-10,67234882","-41,57045134",Sento Sé - BA
Umburanas 19,EOL,25000.0,"-10,59761022","-41,49465855",Sento Sé - BA
Umburanas 21,EOL,22500.0,"-10,70100472","-41,59507662",Sento Sé - BA
Umburanas 23,EOL,15000.0,"-10,62452756","-41,60279471",Sento Sé - BA
Umburanas 25,EOL,17500.0,"-10,64676367","-41,53336924",Sento Sé - BA
São Bento do Norte I,EOL,23100.0,"-5,12739658","-35,93260574",São Bento do Norte - RN
São Bento do Norte II,EOL,23100.0,"-5,15065565","-35,93235934",São Bento do Norte - RN
São Bento do Norte III,EOL,23100.0,"-5,07429023","-36,03068824",São Bento do Norte - RN
São Miguel I,EOL,21000.0,"-5,16020190","-35,97969385",São Bento do Norte - RN
São Miguel II,EOL,21000.0,"-5,15932638","-35,99349082",São Bento do Norte - RN
São Miguel III,EOL,21000.0,"-5,15606381","-35,99936836",São Bento do Norte - RN
Ventos da Santa Dulce,EOL,28000.0,"-11,59853886","-41,33942579",Morro do Chapéu - BA
Ventos da Santa Esperança,EOL,28000.0,"-11,60750442","-41,31574191",Morro do Chapéu - BA
Ventos do São Mário,EOL,30000.0,"-11,58741408","-41,22852865",Morro do Chapéu - BA
Ventos do São Paulo,EOL,28000.0,"-11,57867591","-41,30342444",Morro do Chapéu - BA
Canoas,EOL,31500.0,"-6,88335057","-36,76373695",São José do Sabugi - PB
Lagoa 1,EOL,31500.0,"-6,87904067","-36,81843069",Santa Luzia - PB
Lagoa 2,EOL,31500.0,"-6,84091341","-36,79106777",São José do Sabugi - PB
Boa Esperança I,EOL,30800.0,"-5,53873532","-35,99579130",Jardim de Angicos - RN
Ventos de São Virgílio 02,EOL,29900.0,"-7,79169967","-40,72803975",Simões - PI
Delta 3 VI (Antiga Ventos do Norte 13),EOL,27600.0,"-2,62930729","-42,64726895",Barreirinhas - MA
Delta 3 V (Antiga Ventos do Norte 15),EOL,27600.0,"-2,63973716","-42,63690349",Barreirinhas - MA
Delta 3 VII (Antiga Ventos do Norte 18),EOL,27600.0,"-2,61892231","-42,65759820",Barreirinhas - MA
Ventos de Santa Leia 02,EOL,67500.0,"-5,86945397","-36,13757046",São Tomé - RN
Delta 3 I (Antiga Ventos Maranhenses 1),EOL,27600.0,"-2,67211973","-42,62004196",Barreirinhas - MA
Delta 3 II (Antiga Ventos Maranhenses 2),EOL,27600.0,"-2,62714204","-42,66387493",Barreirinhas - MA
Delta 3 III (Antiga Ventos Maranhenses 3),EOL,27600.0,"-2,66051867","-42,63217196",Barreirinhas - MA
Delta 3 IV (Antiga Ventos Maranhenses 4),EOL,27600.0,"-2,65723996","-42,61482123",Barreirinhas - MA
Delta 3 VIII (Antiga Ventos Maranhenses 05),EOL,27600.0,"-2,66698333","-42,64231691",Barreirinhas - MA
Ventos de Santa Leia 04,EOL,67100.0,"-5,80840386","-36,10233557",Lajes - RN
Ventos de Santa Leia 05,EOL,67500.0,"-5,78513058","-36,07259507",Caiçara do Rio do Vento - RN
Vila Acre I,EOL,27300.0,"-5,07417829","-37,01535676",Serra do Mel - RN
Ventos de Vila Acre II,EOL,31185.0,"-5,07540183","-37,04298888",Serra do Mel - RN
Cataventos Acaraú I,EOL,28000.0,"-2,84144239","-40,06614308",Acaraú - CE
Horizonte MP 1,UFV,29400.0,"-12,60903827","-44,08514302",Tabocas do Brejo Velho - BA
Horizonte MP 2,UFV,29400.0,"-12,61406454","-44,08961868",Tabocas do Brejo Velho - BA
Horizonte MP 11,UFV,21000.0,"-12,63943181","-44,08480598",Tabocas do Brejo Velho - BA
São Pedro II,UFV,27000.0,"-13,32273116","-43,29514073",Bom Jesus da Lapa - BA
São Pedro IV,UFV,27000.0,"-13,32273116","-43,29514073",Bom Jesus da Lapa - BA
Coxilha Negra 4,EOL,96600.0,"-31,01897331","-55,81447293",Santana do Livramento - RS
Santo Agostinho 1,EOL,18600.0,"-5,51854552","-36,22985297",Pedro Avelino - RN
Santo Agostinho 2,EOL,31000.0,"-5,53973462","-36,22977241",Pedro Avelino - RN
Santo Agostinho 3,EOL,12400.0,"-5,58480283","-36,23479241",Pedro Avelino - RN
Santo Agostinho 4,EOL,37200.0,"-5,58327956","-36,21647326",Lajes - RN
Santo Agostinho 5,EOL,55800.0,"-5,55684837","-36,19904813",Lajes - RN
Santo Agostinho 6,EOL,24800.0,"-5,57524277","-36,19284646",Lajes - RN
São Gonçalo 1,UFV,45680.0,"-10,09157393","-45,26435300",São Gonçalo do Gurguéia - PI
São Gonçalo 2,UFV,50000.0,"-10,09650699","-45,27441900",São Gonçalo do Gurguéia - PI
São Gonçalo 3,UFV,45680.0,"-10,09910259","-45,28151119",São Gonçalo do Gurguéia - PI
São Gonçalo 4,UFV,50000.0,"-10,12049778","-45,29693667",São Gonçalo do Gurguéia - PI
São Gonçalo 5,UFV,50000.0,"-10,10765279","-45,29966364",São Gonçalo do Gurguéia - PI
São Gonçalo 6,UFV,45680.0,"-10,11463333","-45,30060000",São Gonçalo do Gurguéia - PI
São Gonçalo 7,UFV,34542.0,"-10,12844053","-45,29851600",São Gonçalo do Gurguéia - PI
São Gonçalo 8,UFV,34542.0,"-10,12342778","-45,29311667",São Gonçalo do Gurguéia - PI
Santo Agostinho 13,EOL,37200.0,"-5,64742582","-36,24688133",Lajes - RN
Santo Agostinho 14,EOL,6200.0,"-5,64422822","-36,24713094",Pedro Avelino - RN
Santo Agostinho 17,EOL,43400.0,"-5,58836202","-36,26155339",Pedro Avelino - RN
Acauã III,EOL,16800.0,"-6,09755184","-36,62938754","Lagoa Nova - RN, Santana do Matos - RN, São Vicente - RN"
Santo Agostinho 18,EOL,31000.0,"-5,55201074","-36,25216212",Pedro Avelino - RN
Santo Agostinho 21,EOL,31000.0,"-5,50754804","-36,21673909",Pedro Avelino - RN
Monte Verde III,EOL,58800.0,"-5,43984707","-36,22200328",Lajes - RN
Apodi I,UFV,33000.0,"-5,04133889","-37,78653889",Quixeré - CE
Apodi II,UFV,33000.0,"-5,05212500","-37,79000000",Quixeré - CE
Apodi III,UFV,33000.0,"-5,04450833","-37,79287222",Quixeré - CE
Apodi IV,UFV,33000.0,"-5,04400000","-37,79717499",Quixeré - CE
Juazeiro Solar I,UFV,30000.0,"-9,53190291","-40,48784622",Juazeiro - BA
Juazeiro Solar II,UFV,30000.0,"-9,53190291","-40,48784622",Juazeiro - BA
Juazeiro Solar III,UFV,30000.0,"-9,53190291","-40,48784622",Juazeiro - BA
Juazeiro Solar IV,UFV,30000.0,"-9,53190291","-40,48784622",Juazeiro - BA
Baixa do Sítio,EOL,46200.0,"-6,09163160","-36,64797899","Santana do Matos - RN, São Vicente - RN, Tenente Laurentino Cruz - RN"
Paracatu 3,UFV,33000.0,"-17,22026771","-47,09223811",Paracatu - MG
Paracatu 4,UFV,33000.0,"-17,22385030","-47,08718807",Paracatu - MG
Paracatu 1,UFV,33000.0,"-17,21342159","-47,08915530",Paracatu - MG
Paracatu 2,UFV,33000.0,"-17,22013817","-47,09220028",Paracatu - MG
Pitombeira,UFV,47250.0,"-4,60098333","-37,64212222",Aracati - CE
Guimarania 1,UFV,32550.0,"-18,82442131","-46,67448395",Guimarânia - MG
Guimarania 2,UFV,32550.0,"-18,81662405","-46,69043000",Guimarânia - MG
Angico I,UFV,27200.0,"-6,91704135","-37,56017362",Condado - PB
Malta,UFV,27200.0,"-6,90975366","-37,56014221",Malta - PB
Solar Salgueiro III,UFV,30000.0,"-8,08333333","-39,35547222",Terra Nova - PE
Brisas Suaves,UFV,5000.0,"-15,54018984","-43,62830000",São Paulo - SP
Castilho 1,UFV,49999.32,"-20,80000555","-51,52874166",Castilho - SP
Castilho 5,UFV,49999.32,"-20,78925833","-51,51476388",Castilho - SP
Castilho 3,UFV,49999.32,"-20,77671666","-51,52710555",Castilho - SP
Castilho 4,UFV,49999.32,"-20,78123056","-51,51658055",Castilho - SP
Assuruá,UFV,30520.0,"-10,99000579","-42,36037131",Itaguaçu da Bahia - BA
BJL 11,UFV,20000.0,"-13,32717157","-43,35719176",Bom Jesus da Lapa - BA
BJL 4,UFV,20000.0,"-13,32076646","-43,34286701",Bom Jesus da Lapa - BA
Solar Salgueiro II,UFV,30000.0,"-8,08547485","-39,35340209",Terra Nova - PE
Boa Hora 1,UFV,23040.0,"-19,87300000","-50,89047036",Ouroeste - SP
Boa Hora 2,UFV,23040.0,"-19,88467353","-50,39708404",Ouroeste - SP
Boa Hora 3,UFV,23040.0,"-19,88110601","-50,39462758",Ouroeste - SP
Brígida,UFV,31500.0,"-7,89336111","-38,69644722",São José do Belmonte - PE
Assú V,UFV,34000.0,"-5,54600429","-37,02639026",Açu - RN
São Pedro e Paulo V,UFV,27496.0,"-7,89001111","-37,93580000",Flores - PE
São Pedro e Paulo VI,UFV,23123.0,"-7,89560000","-37,94460000",Flores - PE
Água Vermelha IV,UFV,15200.0,"-19,88391425","-50,38202221",Ouroeste - SP
Água Vermelha V,UFV,30400.0,"-19,87547918","-50,37763459",Ouroeste - SP
Água Vermelha VI,UFV,30400.0,"-19,86618809","-50,37879220",Ouroeste - SP
Brigida 2,UFV,31500.0,"-7,89800558","-38,70325013",São José do Belmonte - PE
Fazenda Esmeralda,UFV,29000.0,"-8,41599667","-35,95800278",Agrestina - PE
Floresta II,UFV,32000.0,"-4,96160106","-36,90669327",Areia Branca - RN
Floresta I,UFV,32000.0,"-4,96426606","-36,91050040",Areia Branca - RN
Lapa 3,UFV,30000.0,"-13,32031389","-43,37230278",Bom Jesus da Lapa - BA
Pedranópolis 1,UFV,30000.0,"-20,19463333","-50,04071389",Pedranópolis - SP
Pedranópolis 2,UFV,30000.0,"-20,19298056","-50,04839167",Pedranópolis - SP
Pedranópolis 3,UFV,30000.0,"-20,19849444","-50,03453333",Pedranópolis - SP
Pereira Barreto I,UFV,41895.0,"-20,62783400","-51,30289500",Pereira Barreto - SP
Pereira Barreto II,UFV,41895.0,"-20,62503500","-51,29154450",Pereira Barreto - SP
Pereira Barreto III,UFV,41895.0,"-20,61942800","-51,29579525",Pereira Barreto - SP
Pereira Barreto IV,UFV,41895.0,"-20,61353700","-51,29196411",Pereira Barreto - SP
Pereira Barreto V,UFV,35910.0,"-20,60885100","-51,29577483",Pereira Barreto - SP
Sertão 1,UFV,30000.0,"-8,55040144","-42,29265678",João Costa - PI
Sobrado 1,UFV,30000.0,"-9,38115197","-41,81209074",Casa Nova - BA
Sobral 1,UFV,30000.0,"-8,28894761","-42,36966728",São João do Piauí - PI
Jaíba 3,UFV,33000.0,"-15,34972222","-43,62999999",Jaíba - MG
Jaíba 4,UFV,33000.0,"-15,34194445","-43,62722222",Jaíba - MG
Xaxado 1,UFV,32000.06,"-7,97972222","-38,62250000",São José do Belmonte - PE
Xaxado 2,UFV,32000.06,"-7,97166667","-38,61916666",São José do Belmonte - PE
Xaxado 3,UFV,32000.06,"-7,97555556","-38,60888889",São José do Belmonte - PE
Lapa 2,UFV,30000.0,"-13,31625800","-43,35336700",Bom Jesus da Lapa - BA
Anemus Wind 1 (Antiga Queimadas I),EOL,37800.0,"-6,15498999","-36,62069013","Currais Novos - RN, São Vicente - RN"
Anemus Wind 2,EOL,46200.0,"-6,14863813","-36,62933373","Currais Novos - RN, São Vicente - RN"
Ventos de Santa Esperança 15,EOL,46200.0,"-11,55833830","-41,30172757",Morro do Chapéu - BA
Ventos de Santa Esperança 16,EOL,42000.0,"-11,53059227","-41,32024105",Morro do Chapéu - BA
Ventos de Santa Esperança 17,EOL,42000.0,"-11,50797772","-41,29458236",Morro do Chapéu - BA
Ventos de Santa Esperança 21,EOL,46200.0,"-11,49919413","-41,29109346",Morro do Chapéu - BA
Ventos de Santa Esperança 22,EOL,46200.0,"-11,51693908","-41,28006687",Morro do Chapéu - BA
Ventos de Santa Esperança 25,EOL,25200.0,"-11,55902476","-41,33004267",Morro do Chapéu - BA
Ventos de Santa Esperança 26,EOL,46200.0,"-11,52612662","-41,33171371",Morro do Chapéu - BA
Campo Largo I,EOL,29700.0,"-10,46544666","-41,49346741",Sento Sé - BA
Campo Largo VIII,EOL,33600.0,"-10,45999880","-41,39316050",Umburanas - BA
Campo Largo XIII,EOL,42000.0,"-10,40246351","-41,49350420",Sento Sé - BA
Campo Largo XII,EOL,54600.0,"-10,40541210","-41,44864516",Sento Sé - BA
Campo Largo XI,EOL,16800.0,"-10,40273666","-41,44636052",Sento Sé - BA
Campo Largo X,EOL,33600.0,"-10,50668650","-41,48676691",Sento Sé - BA
Campo largo IX,EOL,25200.0,"-10,46258579","-41,39403857",Umburanas - BA
Campo Largo II,EOL,29700.0,"-10,51103117","-41,45451405",Sento Sé - BA
Campo Largo XIV,EOL,21000.0,"-10,44678334","-41,50083161",Sento Sé - BA
Campo Largo XV,EOL,29700.0,"-10,48909122","-41,43445434","Sento Sé - BA, Umburanas - BA"
Campo Largo XVI,EOL,29700.0,"-10,44079793","-41,46759994",Sento Sé - BA
Campo Largo XVII,EOL,29400.0,"-10,46295351","-41,51405275",Sento Sé - BA
Chafariz 1,EOL,34650.0,"-6,97288508","-36,87927525",Santa Luzia - PB
Chafariz 2,EOL,34650.0,"-6,99685254","-36,89395118",Santa Luzia - PB
Chafariz 3,EOL,34650.0,"-7,00159723","-36,89827901",Santa Luzia - PB
Campo Largo XVIII,EOL,29700.0,"-10,42029019","-41,47863891",Sento Sé - BA
Chafariz 4,EOL,34650.0,"-7,03372829","-36,93548741","Areia de Baraúnas - PB, Santa Luzia - PB"
Campo Largo XIX,EOL,33600.0,"-10,44090202","-41,57230736",Sento Sé - BA
Chafariz 5,EOL,34650.0,"-7,00391417","-36,91308919",Santa Luzia - PB
Campo Largo XX,EOL,37800.0,"-10,48045063","-41,57687853",Sento Sé - BA
Campo Largo XXII,EOL,33600.0,"-10,50942356","-41,61168567",Sento Sé - BA
Ventos de São Vitor 3,EOL,31000.0,"-10,92544883","-42,55331652",Xique-Xique - BA
Ventos de São Vitor 4,EOL,31000.0,"-10,94114345","-42,56103358",Xique-Xique - BA
Ventos de São Vitor 10,EOL,43400.0,"-10,94805524","-42,52945630","Itaguaçu da Bahia - BA, Xique-Xique - BA"
Ventos de São Vitor 11,EOL,31000.0,"-10,93004437","-42,53707598","Itaguaçu da Bahia - BA, Xique-Xique - BA"
Ventos de São Vitor 12,EOL,31000.0,"-10,99014879","-42,51652227",Itaguaçu da Bahia - BA
Ventos de São Vitor 14,EOL,37200.0,"-10,99169933","-42,50064184",Itaguaçu da Bahia - BA
Ventos de Santa Esperança 08,EOL,25200.0,"-11,58693056","-41,33895335",Morro do Chapéu - BA
Ventos de Santa Esperança 13,EOL,33600.0,"-11,58342408","-41,35679636",Morro do Chapéu - BA
Ventos de Santa Emilia,EOL,27300.0,"-11,00636025","-41,22712795",Várzea Nova - BA
Ventos de Santa Aparecida,EOL,27300.0,"-10,91301565","-41,22142744",Ourolândia - BA
Ventos da Santa Beatriz,EOL,27300.0,"-10,93969473","-41,22889662",Ourolândia - BA
Ventos do São Gabriel,EOL,27300.0,"-10,95819775","-41,23343433",Várzea Nova - BA
Ventos de Santa Aurora,EOL,27300.0,"-10,97611855","-41,21994954",Várzea Nova - BA
Sol do Futuro I (Steelcons Sol do Futuro I),UFV,27000.0,"-3,95533317","-38,39498032",Aquiraz - CE
Sol do Futuro II (Antiga Steelcons Sol do Futuro III),UFV,27000.0,"-3,96212166","-38,39764342",Aquiraz - CE
Sol do Futuro III (Antiga Steelcons Sol do Futuro III),UFV,27000.0,"-3,96938722","-38,39392043",Aquiraz - CE
Pedra do Reino IV,EOL,20000.0,"-9,50286494","-40,91422772",Sobradinho - BA
ETESA 17 São João do Piauí I,UFV,32164.0,"-8,27853583","-42,16353972",São João do Piauí - PI
ETESA 18 São João do Piauí II,UFV,32164.0,"-8,28010806","-42,15216361",São João do Piauí - PI
ETESA 19 São João do Piauí III,UFV,32164.0,"-8,26861222","-42,15543889",São João do Piauí - PI
ETESA 20 São João do Piauí IV,UFV,28840.0,"-8,26643500","-42,14281139",São João do Piauí - PI
ETESA 21 São João do Piauí V,UFV,28840.0,"-8,27330583","-42,14342389",São João do Piauí - PI
ETESA 22 São João do Piauí VI,UFV,31878.0,"-8,28026528","-42,13752361",São João do Piauí - PI
Ventos de São Vitor 1,EOL,31000.0,"-10,89804156","-42,53864710",Xique-Xique - BA
Ventos de São Vitor 2,EOL,31000.0,"-10,91153919","-42,54620723",Xique-Xique - BA
Ventos de São Vitor 5,EOL,31000.0,"-10,95629760","-42,56218063",Xique-Xique - BA
Ventos de São Vitor 6,EOL,31000.0,"-10,97171047","-42,56177997",Xique-Xique - BA
Ventos de São Vitor 7,EOL,43400.0,"-10,98737242","-42,56089232",Xique-Xique - BA
Ventos de São Vitor 8,EOL,31000.0,"-10,98612573","-42,53962076",Xique-Xique - BA
Ventos de São Vitor 9,EOL,31000.0,"-10,97119410","-42,53691860",Xique-Xique - BA
Ventos de São Vitor 13,EOL,31000.0,"-10,97618120","-42,51015523",Itaguaçu da Bahia - BA
Ventos da Bahia XVIII,EOL,28600.0,"-12,01548693","-41,49544765",Mulungu do Morro - BA
Ventos da Bahia XXVII,EOL,49500.0,"-12,06263011","-41,48626537","Mulungu do Morro - BA, Souto Soares - BA"
Ventos de Santa Leia 03,EOL,67500.0,"-5,84589330","-36,11526129",Lajes - RN
Jandaira II,EOL,24255.0,"-5,42633606","-36,02021005",Jandaíra - RN
Afonso Bezerra I,EOL,29400.0,"-5,32461200","-36,50618800",Macau - RN
Afonso Bezerra II,EOL,29400.0,"-5,36115500","-36,47225500",Macau - RN
Afonso Bezerra III,EOL,29400.0,"-5,40911700","-36,49248400",Afonso Bezerra - RN
Afonso Bezerra IV,EOL,16800.0,"-5,35038800","-36,46931900",Macau - RN
Angicos I,EOL,25200.0,"-5,31509776","-36,48918220",Macau - RN
Angicos II,EOL,29400.0,"-5,35624499","-36,49740094",Macau - RN
Aura Tanque Novo 03,EOL,13500.0,"-13,64982856","-42,57715616",Tanque Novo - BA
Canoas 2,EOL,34650.0,"-6,88251001","-36,79135867",Santa Luzia - PB
Chafariz 6,EOL,31185.0,"-6,97860766","-36,85393240",Santa Luzia - PB
Garrote,EOL,23100.0,"-4,73591087","-37,32371765",Icapuí - CE
Santa Rosa e Mundo Novo I,EOL,33600.0,"-5,91373216","-36,15622061",São Tomé - RN
Santa Rosa e Mundo Novo II,EOL,29400.0,"-5,85915907","-36,18675162",São Tomé - RN
Santa Rosa e Mundo Novo III,EOL,33600.0,"-5,82017863","-36,23776074",Lajes - RN
Santo Agostinho 25,EOL,24800.0,"-5,57564662","-36,15093641",Lajes - RN
Santo Agostinho 26,EOL,43400.0,"-5,59287892","-36,15316183",Lajes - RN
Santo Agostinho 27,EOL,37200.0,"-5,56147106","-36,17744564",Lajes - RN
Santo Inácio III,EOL,29400.0,"-4,76595307","-37,29142969",Icapuí - CE
São Raimundo,EOL,23100.0,"-4,78128772","-37,29072472",Icapuí - CE
Serra do Fogo,EOL,31185.0,"-9,80508400","-41,02270900",Sento Sé - BA
Serra do Seridó II,EOL,16500.0,"-6,97425004","-36,76179523",Junco do Seridó - PB
Serra do Seridó III,EOL,44000.0,"-6,96893795","-36,79316669",Junco do Seridó - PB
Serra do Seridó IV,EOL,44000.0,"-6,96132887","-36,78588369",Junco do Seridó - PB
Serra do Vento,EOL,31185.0,"-9,81603000","-41,03888900",Sento Sé - BA
Umburana de Cheiro,EOL,31185.0,"-9,83554100","-41,04269700",Sento Sé - BA
Ventos da Bahia XXIII,EOL,49500.0,"-12,08423134","-41,49362596",Souto Soares - BA
Ventos de Arapuá 1,EOL,24255.0,"-7,04823355","-36,95241118","Areia de Baraúnas - PB, Santa Luzia - PB"
Ventos de Arapuá 2,EOL,34650.0,"-7,02919322","-36,96244829","Areia de Baraúnas - PB, Santa Luzia - PB, São Mamede - PB"
Ventos de Arapuá 3,EOL,13860.0,"-7,05079629","-36,96789210","Areia de Baraúnas - PB, São Mamede - PB"
Ventos de Santo Antero,EOL,49500.0,"-8,00366930","-40,51767513","Araripina - PE, Ouricuri - PE"
Ventos de São Bernardo,EOL,45000.0,"-7,99680443","-40,51318664",Ouricuri - PE
ZEUS II,EOL,29400.0,"-9,96984534","-40,88155455",Campo Formoso - BA
Jandaíra III,EOL,27720.0,"-5,43454021","-36,01272337",Jandaíra - RN
Jandaíra IV,EOL,27720.0,"-5,45085792","-36,01233626",Jandaíra - RN
Alex I,UFV,30933.0,"-5,26187500","-37,96893889",Tabuleiro do Norte - CE
Jaíba 9,UFV,22500.0,"-15,35138889","-43,61888161",Jaíba - MG
Alex V,UFV,30933.0,"-5,24583611","-37,97250278",Limoeiro do Norte - CE
Alex VI,UFV,30933.0,"-5,25896266","-37,97729167",Tabuleiro do Norte - CE
Alex VII,UFV,30933.0,"-5,24730833","-37,97747222",Limoeiro do Norte - CE
Alex VIII,UFV,30933.0,"-5,25664167","-37,98144444",Tabuleiro do Norte - CE
Alex IX,UFV,30933.0,"-5,23791111","-37,97709167",Limoeiro do Norte - CE
Alex X,UFV,30933.0,"-5,23550555","-37,98328333",Limoeiro do Norte - CE
Alex III,UFV,30933.0,"-5,24686944","-37,96888333",Limoeiro do Norte - CE
Alex IV,UFV,30933.0,"-5,26086944","-37,97305556",Tabuleiro do Norte - CE
Vila Piauí II,EOL,37800.0,"-5,09803872","-37,07805103",Serra do Mel - RN
Ventos de Vila Ceará I (Antiga Vila Paraíba I),EOL,31185.0,"-5,12714462","-37,03678143",Serra do Mel - RN
Vila Piauí I,EOL,37800.0,"-5,09730598","-37,10533935",Serra do Mel - RN
Ventos de Vila Ceará II,EOL,31185.0,"-5,10566262","-37,03684692",Serra do Mel - RN
Vila Alagoas II,EOL,21000.0,"-5,17175384","-37,09281853",Serra do Mel - RN
Vila Piauí III,EOL,42000.0,"-5,10285596","-37,06237382",Serra do Mel - RN
Vila Ceará I,EOL,31950.0,"-5,10094867","-37,01513946",Serra do Mel - RN
Ventos de Vila Paraíba I (Antiga Vila Paraíba III),EOL,34650.0,"-5,12940829","-36,97699026",Serra do Mel - RN
Ventos de Vila Mato Grosso I (Antiga Vila Alagoas III),EOL,58905.0,"-5,23983831","-37,07549486",Serra do Mel - RN
Ventos de Vila Paraíba II (Antiga Vila Paraíba II),EOL,34650.0,"-5,10554028","-36,97706526",Serra do Mel - RN
Tucano XVI,EOL,12400.0,"-11,35996856","-38,80407728",Araci - BA
Baraúnas XX,EOL,31185.0,"-9,78915068","-41,01289439",Sento Sé - BA
Ararinha Azul,EOL,21150.0,"-14,41267553","-42,64976084",Pindaí - BA
Caetité D,EOL,50400.0,"-14,11455910","-42,49976533",Caetité - BA
Caetité E,EOL,37800.0,"-14,07435991","-42,51232761",Caetité - BA
Caetité F,EOL,25200.0,"-14,07535267","-42,52628322",Caetité - BA
Corrupião II,EOL,18800.0,"-14,41536206","-42,64112440",Pindaí - BA
Cumarú IV,EOL,42000.0,"-5,15998189","-35,78331742",São Miguel do Gostoso - RN
Cumarú V,EOL,37800.0,"-5,14583183","-35,79892999",São Miguel do Gostoso - RN
Pedra do Reino V,EOL,16000.0,"-9,54944968","-40,89579893",Sobradinho - BA
São Fernando 1,EOL,76230.0,"-5,17691547","-36,01128274",São Bento do Norte - RN
São Fernando 2,EOL,72765.0,"-5,18007977","-36,02865094",São Bento do Norte - RN
São Fernando 3,EOL,24255.0,"-5,15294296","-36,04218228",São Bento do Norte - RN
São Fernando 4,EOL,83160.0,"-5,12883749","-36,01502637",São Bento do Norte - RN
Serra da Babilônia A,EOL,21200.0,"-11,12035760","-41,32421958",Várzea Nova - BA
Teiú 3,EOL,23500.0,"-14,40879642","-42,64864637",Pindaí - BA
Ventos de São Januário 19,EOL,72000.0,"-11,13989048","-41,30848805",Morro do Chapéu - BA
Ventos de São Januário 20,EOL,50400.0,"-10,44202226","-40,46165762",Campo Formoso - BA
Ventos de São Januário 21,EOL,50400.0,"-10,42861608","-40,50689139",Campo Formoso - BA
Ventos de São Januário 22,EOL,50400.0,"-10,47361786","-40,52396426",Campo Formoso - BA
Casa Nova A,EOL,27000.0,"-9,26020855","-41,01681339",Casa Nova - BA
Jerusalém I,EOL,29400.0,"-5,61053314","-36,10513381",Pedra Preta - RN
